base_file_name,default_lang,id,title,kind,category,category_order,genre,genre_order,google_play_store_url,youtube_url,app_name,config_json_path,version,date,memo,ネットワークチェック,feat_image,published,store_published,web_published,web_links
blackjack_3in1.md,en,00001,Funny Frog Blackjack,mobile-web,Games,1,Playing cards games,1,https://play.google.com/store/apps/details?id=com.game.playingcardshub,https://www.youtube.com/watch?v=ZNJr2_5G9qA,blackjack_3in1,playing_cards/public/assets/configs/3in1_app_config.json,1.0.1,2025-01-08,審査中,◯,/assets/images/games_apps/blackjack_3in1/blackjack_3in1-feat.webp,True,,false,label=Blackjack / href=/web-games/playing_cards/index_blackjack.html
poker_3in1.md,en,00002,Funny Frog Poker,mobile-web,Games,1,Playing cards games,2,https://play.google.com/store/apps/details?id=com.game.playingcardshub,https://www.youtube.com/watch?v=ZNJr2_5G9qA,poker_3in1,playing_cards/public/assets/configs/3in1_app_config.json,1.0.1,2025-01-08,審査中,◯,/assets/images/games_apps/poker_3in1/poker_3in1-feat.webp,True,,false,label=Poker / href=/web-games/playing_cards/index_poker.html
casinowar_3in1.md,en,00003,Funny Frog Casino War,mobile-web,Games,1,Playing cards games,3,https://play.google.com/store/apps/details?id=com.game.playingcardshub,https://www.youtube.com/watch?v=ZNJr2_5G9qA,casinowar_3in1,playing_cards/public/assets/configs/3in1_app_config.json,1.0.1,2025-01-08,審査中,◯,/assets/images/games_apps/casinowar_3in1/casinowar_3in1-feat.webp,True,,false,label=Casino War / href=/web-games/playing_cards/index_casinowar.html
memorymonsters_base.md,en,00004,Funny Frog Memory Battle,mobile-web,Games,1,Playing cards games,4,https://play.google.com/store/apps/details?id=com.games.memorymonsters,https://www.youtube.com/watch?v=4Qjgvynijgs,memorymonsters,playing_cards/public/assets/configs/memory_app_config.json,1.0.0,2026-05-20,整合性がとれてない 広告の場所,☓,/assets/images/games_apps/memorymonsters/memorymonsters-feat.webp,True,false,false,label=Browser Game / href=/web-games/playing_cards/index_memorymonsters.html
highandlow_base.md,en,00005,Funny Frog High & Low,mobile-web,Games,1,Playing cards games,5,https://play.google.com/store/apps/details?id=com.game.highandlow,,highandlow,playing_cards/public/assets/configs/highandlow_app_config.json,1.0.1,2026-06-06,整合性がとれてない,☓,/assets/images/games_apps/highandlow/highandlow-feat.webp,True,false,false,label=Browser Game / href=/web-games/playing_cards/index_highandlow.html
simple_poker_base.md,en,00006,Simple Poker (Five-card draw),mobile,Games,2,Playing cards games - Native,1,https://play.google.com/store/apps/details?id=com.game.simple_poker,,simple_poker,,1.0.8,2025-01-10,済,◯,/assets/images/games_apps/simple_poker/simple_poker-feat.webp,True,,,
simpleblackjack_base.md,en,00007,Simple Blackjack,mobile,Games,2,Playing cards games - Native,2,https://play.google.com/store/apps/details?id=com.game.simpleblackjack,,simpleblackjack,,1.0.1,2025-01-08,,？ 更新 新機能？,/assets/images/games_apps/simpleblackjack/simpleblackjack-feat.webp,True,,,
simple_old_maid_base.md,en,00008,Simple Old Maid,mobile,Games,2,Playing cards games - Native,3,https://play.google.com/store/apps/details?id=com.game.old_maid,,simple_old_maid,,1.0.4,2025-01-15,審査中,◯,/assets/images/games_apps/simple_old_maid/simple_old_maid-feat.webp,True,,,
kaitensushimaster_base.md,en,00009,Kaiten Sushi Kitchen Master,mobile-web,Games,3,Puzzle games,1,https://play.google.com/store/apps/details?id=com.game.kaitensushimaster,https://www.youtube.com/watch?v=sfOlJLo2JkU,kaitensushimaster,puzzle/public/assets/configs/kaitensushimaster_app_config.json,1.0.1,2025-01-08,,？,/assets/images/games_apps/kaitensushimaster/kaitensushimaster-feat.webp,True,,,label=Browser Game / href=/web-games/kaitensushimaster/index.html
numtaplangquiz_base.md,ja,50010,Tap the Number Training Quiz,mobile-web,Apps,4,Learning APP,1,https://play.google.com/store/apps/details?id=com.numberquiz.app,https://www.youtube.com/watch?v=CYug1vOMz-U&t=2s,numtaplangquiz,,1.0.1,2025-01-18,,,/assets/images/games_apps/number_quiz/number_quiz-feat.webp,True,,,label=Number Quiz(Sample) / href=https://eigoal.net/en/english/part2
flagsoftheworld_base.md,en,50011,Flags of the World,mobile,Apps,4,Learning APP,2,https://play.google.com/store/apps/details?id=com.app.flagsoftheworld,,flagsoftheworld,,1.0.1,2025-01-08,,,/assets/images/games_apps/flagsoftheworld/flagsoftheworld-feat.webp,True,,,
